INSERT INTO catcafe.dbo.Cats VALUES(4097, 'NAME', 'Javanese', 'HEALTH', 2)
INSERT INTO catcafe.dbo.Cats VALUES(5755, 'NAME', 'Peterbald', 'HEALTH', 9)
INSERT INTO catcafe.dbo.Cats VALUES(9633, 'NAME', 'Somali', 'HEALTH', 8)
INSERT INTO catcafe.dbo.Cats VALUES(4701, 'NAME', 'Bobtail', 'HEALTH', 6)
INSERT INTO catcafe.dbo.Cats VALUES(2195, 'NAME', 'Thailand', 'HEALTH', 9)
INSERT INTO catcafe.dbo.Cats VALUES(2939, 'NAME', 'Forest', 'HEALTH', 3)
INSERT INTO catcafe.dbo.Cats VALUES(2148, 'NAME', 'American', 'HEALTH', 1)
INSERT INTO catcafe.dbo.Cats VALUES(2449, 'NAME', 'Brazilian', 'HEALTH', 3)
INSERT INTO catcafe.dbo.Cats VALUES(4549, 'NAME', 'York', 'HEALTH', 8)
INSERT INTO catcafe.dbo.Cats VALUES(5260, 'NAME', 'Australian', 'HEALTH', 5)
INSERT INTO catcafe.dbo.Cats VALUES(9104, 'NAME', 'Longhair', 'HEALTH', 1)
INSERT INTO catcafe.dbo.Cats VALUES(5152, 'NAME', 'Birman', 'HEALTH', 3)
INSERT INTO catcafe.dbo.Cats VALUES(7721, 'NAME', 'Shorthair', 'HEALTH', 5)
INSERT INTO catcafe.dbo.Cats VALUES(4841, 'NAME', 'Bambino', 'HEALTH', 2)
INSERT INTO catcafe.dbo.Cats VALUES(7366, 'NAME', 'Asian', 'HEALTH', 2)
INSERT INTO catcafe.dbo.Cats VALUES(7044, 'NAME', 'Thai', 'HEALTH', 10)
INSERT INTO catcafe.dbo.Cats VALUES(2551, 'NAME', 'American', 'HEALTH', 10)
INSERT INTO catcafe.dbo.Cats VALUES(9006, 'NAME', 'Maine', 'HEALTH', 9)
INSERT INTO catcafe.dbo.Cats VALUES(5150, 'NAME', 'Korn', 'HEALTH', 2)
INSERT INTO catcafe.dbo.Cats VALUES(8356, 'NAME', 'Persian', 'HEALTH', 5)
INSERT INTO catcafe.dbo.Cats VALUES(5305, 'NAME', 'Australian', 'HEALTH', 3)
INSERT INTO catcafe.dbo.Cats VALUES(920, 'NAME', 'Van', 'HEALTH', 9)
INSERT INTO catcafe.dbo.Cats VALUES(1862, 'NAME', 'Bobtail', 'HEALTH', 5)
INSERT INTO catcafe.dbo.Cats VALUES(3513, 'NAME', 'Lykoi', 'HEALTH', 7)
INSERT INTO catcafe.dbo.Cats VALUES(5725, 'NAME', 'American', 'HEALTH', 7)
INSERT INTO catcafe.dbo.Cats VALUES(9166, 'NAME', 'Nebelung', 'HEALTH', 3)
INSERT INTO catcafe.dbo.Cats VALUES(9489, 'NAME', 'Savannah', 'HEALTH', 5)
INSERT INTO catcafe.dbo.Cats VALUES(8874, 'NAME', 'Turkish', 'HEALTH', 10)
INSERT INTO catcafe.dbo.Cats VALUES(2996, 'NAME', 'Napoleon', 'HEALTH', 5)
INSERT INTO catcafe.dbo.Cats VALUES(8025, 'NAME', 'or', 'HEALTH', 6)
INSERT INTO catcafe.dbo.Cats VALUES(4791, 'NAME', 'Bombay', 'HEALTH', 8)
INSERT INTO catcafe.dbo.Cats VALUES(532, 'NAME', 'York', 'HEALTH', 6)
INSERT INTO catcafe.dbo.Cats VALUES(1976, 'NAME', 'Shorthair', 'HEALTH', 10)
INSERT INTO catcafe.dbo.Cats VALUES(9695, 'NAME', 'and', 'HEALTH', 5)
INSERT INTO catcafe.dbo.Cats VALUES(3656, 'NAME', 'Sokoke', 'HEALTH', 8)
INSERT INTO catcafe.dbo.Cats VALUES(2415, 'NAME', 'Russian', 'HEALTH', 2)
INSERT INTO catcafe.dbo.Cats VALUES(6347, 'NAME', 'Mekong', 'HEALTH', 8)
