Zip Code,City,County
84001,Altamont,Utah
84003,American Fork,Utah
84005,Eagle Mountain,Utah
84006,Bingham Canyon,Utah
84007,Bluebell,Utah
84010,Bountiful,Utah
84013,Cedar Valley,Utah
84014,Centerville,Utah
84015,Clearfield,Utah
84017,Coalville,Utah
84020,Draper,Utah
84021,Duchesne,Utah
84022,Dugway,Utah
84023,Dutch John,Utah
84025,Farmington,Utah
84026,Fort Duchesne,Utah
84028,Garden City,Utah
84029,Grantsville,Utah
84032,Heber City,Utah
84035,Jensen,Utah
84036,Kamas,Utah
84037,Kaysville,Utah
84039,Lapoint,Utah
84040,Layton,Utah
84041,Layton,Utah
84043,Lehi,Utah
84044,Magna,Utah
84045,Saratoga Springs,Utah
84046,Manila,Utah
84047,Midvale,Utah
84049,Midway,Utah
84050,Morgan,Utah
84052,Myton,Utah
84053,Neola,Utah
84055,Oakley,Utah
84057,Orem,Utah
84058,Orem,Utah
84059,Vineyard,Utah
84060,Park City,Utah
84062,Pleasant Grove,Utah
84065,Riverton,Utah
84066,Roosevelt,Utah
84067,Roy,Utah
84069,Rush Valley,Utah
84070,Sandy,Utah
84070,Sandy,Utah
84071,Stockton,Utah
84072,Tabiona,Utah
84074,Tooele,Utah
84074,Tooele,Utah
84078,Vernal,Utah
84080,Vernon,Utah
84081,West Jordan,Utah
84082,Wallsburg,Utah
84083,Wendover,Utah
84084,West Jordan,Utah
84085,Whiterocks,Utah
84086,Woodruff,Utah
84088,West Jordan,Utah
84092,Sandy,Utah
84093,Sandy,Utah
84094,Sandy,Utah
84095,South Jordan,Utah
84096,Herriman,Utah
84097,Orem,Utah
84098,Park City,Utah
84101,Salt Lake City,Utah
84102,Salt Lake City,Utah
84103,Salt Lake City,Utah
84104,Salt Lake City,Utah
84105,Salt Lake City,Utah
84106,Salt Lake City,Utah
84107,Salt Lake City,Utah
84108,Salt Lake City,Utah
84109,Salt Lake City,Utah
84111,Salt Lake City,Utah
84112,Salt Lake City,Utah
84113,Salt Lake City,Utah
84114,Salt Lake City,Utah
84115,Salt Lake City,Utah
84116,Salt Lake City,Utah
84117,Salt Lake City,Utah
84118,Salt Lake City,Utah
84119,West Valley City,Utah
84120,West Valley City,Utah
84121,Salt Lake City,Utah
84123,Salt Lake City,Utah
84124,Salt Lake City,Utah
84128,West Valley City,Utah
84129,Salt Lake City,Utah
84132,Salt Lake City,Utah
84133,Salt Lake City,Utah
84134,Salt Lake City,Utah
84138,Salt Lake City,Utah
84139,Salt Lake City,Utah
84141,Salt Lake City,Utah
84143,Salt Lake City,Utah
84148,Salt Lake City,Utah
84150,Salt Lake City,Utah
84180,Salt Lake City,Utah
84184,Salt Lake City,Utah
84190,Salt Lake City,Utah
84199,Salt Lake City,Utah
84201,Ogden,Utah
84244,Ogden,Utah
84302,Brigham City,Utah
84307,Corinne,Utah
84310,Eden,Utah
84311,Fielding,Utah
84312,Garland,Utah
84314,Honeyville,Utah
84315,Hooper,Utah
84317,Huntsville,Utah
84318,Hyde Park,Utah
84319,Hyrum,Utah
84320,Lewiston,Utah
84321,Logan,Utah
84322,Logan,Utah
84325,Mendon,Utah
84328,Paradise,Utah
84329,Park Valley,Utah
84332,Providence,Utah
84333,Richmond,Utah
84335,Smithfield,Utah
84336,Snowville,Utah
84337,Tremonton,Utah
84338,Trenton,Utah
84339,Wellsville,Utah
84340,Willard,Utah
84341,Logan,Utah
84401,Ogden,Utah
84401,Ogden,Utah
84401,Ogden,Utah
84403,Ogden,Utah
84404,Ogden,Utah
84405,Ogden,Utah
84407,Ogden,Utah
84408,Ogden,Utah
84414,Ogden,Utah
84501,Price,Utah
84511,Blanding,Utah
84520,East Carbon,Utah
84521,Elmo,Utah
84525,Green River,Utah
84526,Helper,Utah
84532,Moab,Utah
84535,Monticello,Utah
84540,Thompson,Utah
84542,Wellington,Utah
84601,Provo,Utah
84602,Provo,Utah
84604,Provo,Utah
84606,Provo,Utah
84624,Delta,Utah
84627,Ephraim,Utah
84629,Fairview,Utah
84631,Fillmore,Utah
84635,Hinckley,Utah
84642,Manti,Utah
84645,Mona,Utah
84647,Mount Pleasant,Utah
84648,Nephi,Utah
84651,Payson,Utah
84653,Salem,Utah
84654,Salina,Utah
84655,Santaquin,Utah
84660,Spanish Fork,Utah
84663,Springville,Utah
84664,Mapleton,Utah
84701,Richfield,Utah
84713,Beaver,Utah
84720,Cedar City,Utah
84721,Cedar City,Utah
84724,Elsinore,Utah
84728,Garrison,Utah
84737,Hurricane,Utah
84741,Kanab,Utah
84745,La Verkin,Utah
84747,Loa,Utah
84751,Milford,Utah
84754,Monroe,Utah
84757,New Harmony,Utah
84759,Panguitch,Utah
84765,Santa Clara,Utah
84770,Saint George,Utah
84773,Teasdale,Utah
84774,Toquerville,Utah
84780,Washington,Utah
84790,Saint George,Utah
